userId,movieId,rating
1,1,3.4
1,2,3.5
1,4,2.9
1,8,3.7
1,9,2.8
1,10,3.4
1,12,3.2
1,14,3.7
1,15,3.9
1,17,3.2
1,19,3.1
1,20,3.1
2,2,2.7
2,4,2.8
2,5,2.4
2,6,3.5
2,8,3.5
2,9,2.7
2,12,2.7
2,13,2.4
2,14,3.0
2,15,3.1
2,16,2.5
2,20,2.9
3,2,2.3
3,3,1.7
3,4,2.1
3,6,2.6
3,8,2.3
3,11,2.4
3,14,2.2
3,15,2.7
3,16,1.7
3,17,2.6
3,18,2.5
4,2,3.5
4,3,1.7
4,4,1.9
4,5,1.5
4,6,3.3
4,8,2.9
4,9,2.2
4,10,1.0
4,12,2.5
4,13,2.6
4,14,3.3
4,15,3.5
4,16,1.5
4,17,3.1
4,19,3.1
4,20,1.7
5,1,2.0
5,2,2.6
5,3,2.3
5,4,2.1
5,5,1.2
5,7,1.6
5,8,3.2
5,10,1.5
5,11,2.5
5,12,3.0
5,13,1.7
5,17,3.0
6,1,3.6
6,2,4.2
6,5,3.7
6,6,3.7
6,8,4.2
6,11,2.9
6,12,3.9
6,13,3.2
6,15,4.5
6,16,2.5
6,18,2.6
6,20,2.4
7,2,2.6
7,4,2.7
7,5,2.7
7,6,3.2
7,8,2.7
7,10,3.0
7,14,2.7
7,15,3.0
7,17,2.6
7,18,2.4
7,19,2.5
7,20,2.9
8,1,1.3
8,2,3.1
8,5,1.9
8,6,2.8
8,9,1.5
8,10,1.0
8,13,2.3
8,14,2.7
8,18,2.0
9,1,3.1
9,3,3.1
9,7,3.5
9,8,2.7
9,9,3.2
9,11,2.9
9,14,2.6
9,20,2.8
10,1,2.5
10,2,2.9
10,3,2.2
10,7,1.8
10,9,1.9
10,10,2.2
10,11,2.7
10,12,3.0
10,14,3.2
10,15,3.1
10,17,2.4
10,18,2.1
10,19,2.9
10,20,2.6
11,1,2.2
11,4,1.9
11,5,1.7
11,8,2.5
11,9,1.8
11,10,2.0
11,14,2.6
11,16,1.9
11,18,1.6
11,19,2.5
11,20,2.0
12,4,2.8
12,5,2.6
12,6,4.4
12,7,3.6
12,8,4.0
12,10,2.7
12,11,3.2
12,13,3.4
12,16,2.9
12,18,3.2
13,3,3.2
13,5,2.9
13,6,3.8
13,7,3.0
13,8,3.1
13,9,2.8
13,13,2.8
13,15,2.9
13,16,3.2
13,18,3.4
14,1,2.3
14,2,2.9
14,3,2.3
14,4,1.7
14,6,3.7
14,7,2.6
14,8,2.1
14,10,2.4
14,13,2.7
14,15,2.8
14,16,2.7
14,18,2.3
14,19,2.3
14,20,2.0
15,1,1.7
15,2,2.3
15,3,1.7
15,4,1.8
15,6,2.0
15,8,1.8
15,9,1.9
15,11,1.6
15,12,1.7
15,14,2.0
15,15,2.3
15,17,2.1
15,19,2.2
15,20,1.9
16,1,2.3
16,2,3.1
16,3,2.0
16,4,1.9
16,6,3.6
16,8,2.1
16,12,2.4
16,14,2.7
16,17,2.8
16,18,2.5
16,20,1.8
17,1,2.6
17,2,2.9
17,5,2.6
17,7,2.9
17,8,3.2
17,9,2.3
17,10,2.2
17,11,2.3
17,13,2.0
17,14,2.9
17,15,2.8
17,16,2.4
17,17,3.0
17,18,2.8
17,19,2.4
17,20,2.9
18,1,1.6
18,2,2.7
18,11,2.0
18,12,2.0
18,14,2.0
18,16,1.0
18,17,2.7
18,19,3.0
18,20,1.8
19,1,2.6
19,2,3.6
19,3,2.1
19,5,2.5
19,7,2.4
19,8,4.2
19,9,2.4
19,10,2.6
19,15,3.7
19,18,2.5
19,19,3.6
19,20,2.5
20,1,4.2
20,4,3.8
20,5,3.1
20,7,3.9
20,10,3.7
20,11,4.4
20,12,4.4
20,14,4.5
20,17,4.2
20,18,4.0
20,19,4.1
20,20,4.2
